"FundingOrgName","ProjectReference","LeadROName","Department","ProjectCategory","PISurname","PIFirstName","PIOtherNames","PI ORCID iD","StudentSurname","StudentFirstName","StudentOtherNames","Student ORCID iD","Title","StartDate","EndDate","AwardPounds","ExpenditurePounds","Region","Status","Classifications 1","Classifications 2","Classifications 3","Classifications 4","Classifications 5","Other Classifications","GTRProjectUrl","ProjectId","FundingOrgId","LeadROId","PIId"
"BBSRC","BB/K009885/1","University of East Anglia","Chemistry","Research Grant","Butt","Julea","","http://orcid.org/0000-0002-9624-5226",,,,"","Advancing Biotechnologies for Fuel Generation: Exploiting Transmembrane Cytochromes for Solar Energy Conversion","29/06/2013","29/12/2016","377443",,,"Closed","Bioenergy","Biological membranes","Catalysis & enzymology","Electrochemical Science & Eng.","Solar Technology",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=BB/K009885/1","3B385A85-6754-4F5A-8A6C-44D9E1646E26","2512EF1C-401B-4222-9869-A770D4C5FAC7","88C5F7F9-8DCC-41C9-BC4F-F37DA01075C7","4D20E9C4-7D51-4261-993D-41167D31DFBE"
"EPSRC","EP/K005901/1","University of Liverpool","Physics","Research Grant","Durose","Ken","","",,,,"","Finding universal rules for efficiency enhancing layers in thin film PV","31/03/2013","31/12/2015","346497",,,"Closed","Solar Technology","","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/K005901/1","C704C83F-52FB-4E82-B9BA-2F369EEC7EBF","798CB33D-C79E-4578-83F2-72606407192C","A0A585E0-6B0D-4643-A3A6-47943B4CBFEF","175F7685-509B-4E23-AEB3-90E67B9A7343"
"EPSRC","EP/T01556X/1","Swansea University","School of Engineering","Research Grant","Worsley","David","","",,,,"","Power to the People: Democratising energy through decentralised manufacture and production of affordable, reliable, sustainable solar power","30/09/2019","31/12/2021","808235",,,"Active","GCRF","Solar Technology","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/T01556X/1","F1EDDEBA-6F71-4742-B70B-3B082CF9C6F6","798CB33D-C79E-4578-83F2-72606407192C","AB307619-D4FA-427E-A042-09DBEBA84669","C5DFC3E9-D195-464E-89B8-DD07CEB1D045"
"EPSRC","EP/V008676/1","University of Bristol","Chemistry","Research Grant","Fermin","David","J.","",,,,"","Solution-Processed Inorganic Thin-Film Photovoltaic Devices (SolPV)","31/07/2021","31/01/2025","862980",,,"Active","Materials Characterisation","Solar Technology","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/V008676/1","6C7E9CFB-53DC-46C0-8158-2C5AFB2EA576","798CB33D-C79E-4578-83F2-72606407192C","4A348A76-B2D0-4DDD-804A-CE735A6D3798","6024802D-8803-4519-89B4-40D5B4361A2F"
"EPSRC","EP/R003998/1","Queen Mary, University of London","School of Business and Management","Research Grant","Manika","Danae","","",,,,"","Newton Fund: A High Efficiency, Low Cost and Building Integratable Solar Photovoltaic/Thermal System for Space Heating, Hot Water and Power Supply","31/03/2017","28/06/2018","103218",,,"Closed","Energy Storage","Newton","Solar Technology","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/R003998/1","2223190D-73B6-481E-B7F5-4EE4F1480B45","798CB33D-C79E-4578-83F2-72606407192C","D5337A10-AC8A-402A-8164-C5F9CC6B0140","30597D39-5C4D-4DF7-866B-A1A2F577B1EE"
"EPSRC","EP/G032726/1","University of Leeds","Centre for Molecular Nanoscience","Research Grant","Bushby","Richard","James","http://orcid.org/0000-0002-1627-6058",,,,"","DISCOTIC LIQUID CRYSTAL-BASED FIELD EFFECT TRANSISTORS","12/01/2009","10/06/2010","97417",,,"Closed","Materials Characterisation","Materials Synthesis & Growth","Solar Technology","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/G032726/1","DC1CDB95-0ECB-4BA7-8AC1-0BBECF765AB8","798CB33D-C79E-4578-83F2-72606407192C","83D87776-5958-42AE-889D-B8AECF16B468","46E97B74-0CD9-4B3A-A9F9-E791019B8A58"
"EPSRC","EP/F02763X/1","Heriot-Watt University","Sch of Engineering and Physical Science","Research Grant","Richards","Bryce","Sydney","",,,,"","Photophysical Strategies and Novel NIR Dyes for Optimisation of Luminescent Solar Concentrators","23/09/2007","23/03/2009","160093",,,"Closed","Chemical Structure","Co-ordination Chemistry","Materials Characterisation","Materials Processing","Solar Technology",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/F02763X/1","1D25D894-4534-407C-8D95-0DE31E466410","798CB33D-C79E-4578-83F2-72606407192C","E5A82D2C-5AD4-488A-ACFF-566345A5D6DA","8E2F3740-0432-4CBC-A2C3-344DB0D1F845"
"EPSRC","EP/E035175/1","Imperial College London","Dept of Chemistry","Research Grant","Durrant","James","","http://orcid.org/0000-0001-8353-7345",,,,"","Metal substrate mounted flexible dye sensitised semiconductor solar cells","12/02/2007","10/05/2010","508128",,,"Closed","Materials Processing","Materials Synthesis & Growth","Optoelect. Devices & Circuits","Solar Technology","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/E035175/1","F4D4BB82-7321-43C1-B67E-11182FA0ABB3","798CB33D-C79E-4578-83F2-72606407192C","46387D84-F71E-4B7D-8C7D-9C288F113510","9D46FA67-C2BF-4C45-9A5F-5071117A675B"
"EPSRC","EP/J009857/1","University of Oxford","Materials","Research Grant","Giustino","Feliciano","","",,,,"","Rational design of solid-state semiconductor-sensitized solar cells: from materials modelling to device fabrication","30/09/2012","30/03/2017","989489",,,"Closed","Solar Technology","","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/J009857/1","CBBACC72-B0CE-4EB1-B7FB-0E2AB9DA5821","798CB33D-C79E-4578-83F2-72606407192C","3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9","E55877FE-8F5A-48F3-AD74-B30631342B41"
"EPSRC","EP/K022237/1","University of Ulster","Nanotechnology and Adv Materials Inst","Research Grant","Mariotti","Davide","","",,,,"","All Inorganic Bulk Heterojunction Solar Cell Devices","31/07/2013","30/07/2016","692712",,,"Closed","Solar Technology","","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/K022237/1","845DA870-F7E2-4203-80A0-0D5D47870966","798CB33D-C79E-4578-83F2-72606407192C","245EB81A-808F-4697-BAED-263C20266B74","C5AB3081-2E39-4842-9AD6-E6E415988C3B"
"EPSRC","EP/E027431/1","University of Strathclyde","Pure and Applied Chemistry","Research Grant","Skabara","Peter","John","http://orcid.org/0000-0001-7319-0464",,,,"","Self-assembling conjugated macromolecules for organic field effect transistors and solar cells","31/05/2007","30/05/2010","343656",,,"Closed","Chemical Structure","Chemical Synthetic Methodology","Materials Characterisation","Solar Technology","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/E027431/1","8E3629E7-CC19-43BD-AC2D-0F7849738377","798CB33D-C79E-4578-83F2-72606407192C","5BB4F8BF-B4E0-4EAF-9AF5-885E19D64850","F12AD3FA-F68A-40EC-8A7B-09C70FA7D254"
"EPSRC","EP/F065884/1","University of Oxford","Oxford Physics","Research Grant","Snaith","Henry","James","",,,,"","Self-organized nanostructures in hybrid solar cells","01/05/2008","30/04/2012","446685",,,"Closed","Materials Characterisation","Materials Processing","Solar Technology","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/F065884/1","F7F798B0-3F69-4250-9C17-58D5A22220CC","798CB33D-C79E-4578-83F2-72606407192C","3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9","15E36410-2834-433A-B01F-15A10565CFEC"
"EPSRC","EP/R016666/1","Swansea University","School of Engineering","Research Grant","Davies","Matthew Lloyd","","",,,,"","Interfaces, Stability and Energy Efficiency: Photochemical Characterisation of Perovskites for Printable Photovoltaics","31/03/2018","31/03/2019","100607",,,"Closed","Solar Technology","","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/R016666/1","98A28C47-D749-4C77-956A-78C35CD51525","798CB33D-C79E-4578-83F2-72606407192C","AB307619-D4FA-427E-A042-09DBEBA84669","29712EEE-2C71-4A3E-BA2D-5249DB14F663"
"EPSRC","EP/V027840/1","University of St Andrews","Physics and Astronomy","Research Grant","Samuel","Ifor","","",,,,"","Novel Polymers of Intrinsic Microporosity for use as photonic materials","01/01/2022","29/09/2024","430747",,,"Active","Electrochemical Science & Eng.","Lasers & Optics","Materials Characterisation","Materials Synthesis & Growth","Solar Technology",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/V027840/1","2F781590-2FE8-4DA8-923A-7BD3F7F42727","798CB33D-C79E-4578-83F2-72606407192C","C0E4FAD2-3C8B-410A-B6DF-3B9B9E433060","2BCA067D-DC15-4906-AFDD-1CF7B2D37D97"
"EPSRC","DT/E011225/1","Loughborough University","Electronic, Electrical & Systems Enginee","Research Grant","Upadhyaya","Hari","Mohan","",,,,"","Novel Inline Deposition System for High Performance CIGS Solar Cells","09/08/2007","09/02/2011","84507",,,"Closed","Solar Technology","","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=DT/E011225/1","5D8B97C4-F3A2-4559-90A6-794AAE830A74","798CB33D-C79E-4578-83F2-72606407192C","CAA9A40D-0226-4A4F-AC0D-D8299E30A1EF","A3ADCB60-B2BB-4BDA-8A21-AC74B3A059C8"
"EPSRC","EP/G070334/1","Lancaster University","Physics","Research Grant","Krier","Anthony","","",,,,"","Dilute Nitride Type II Quantum Dot Materials for Solar Cells based on GaAs - Collaborative Research in Energy with South Africa","01/11/2009","31/10/2012","401155",,,"Closed","Solar Technology","","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/G070334/1","FF624D67-ECA3-47C6-B7D3-76E206C3AF65","798CB33D-C79E-4578-83F2-72606407192C","44160F04-5CBF-4E8E-A6C6-C0EF61A5865C","5E4029ED-EB20-4C85-BF51-8AD088A07632"
"EPSRC","EP/C542398/1","University of St Andrews","Physics and Astronomy","Fellowship","Samuel","Ifor","","",,,,"","Advanced Organic Optoelectronic Materials and Devices","01/03/2006","28/02/2011","345848",,,"Closed","Materials Characterisation","Materials Processing","Materials Synthesis & Growth","Medical science & disease","Optoelect. Devices & Circuits","Solar Technology","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/C542398/1","61BA6B4D-399F-4E2E-ABDA-2D0FA815F93E","798CB33D-C79E-4578-83F2-72606407192C","C0E4FAD2-3C8B-410A-B6DF-3B9B9E433060","2BCA067D-DC15-4906-AFDD-1CF7B2D37D97"
"EPSRC","EP/D060214/1","University of Ulster","Sch of Built Environment","Research Grant","Eames","Philip  Charles","","",,,,"","Development of a Novel Tunnel-junction-free Concentrator Cell and its Evaluation for a Smart Windows Application","31/05/2006","29/09/2006","165100",,,"Closed","Materials Processing","Materials Synthesis & Growth","Optoelect. Devices & Circuits","Solar Technology","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/D060214/1","AA432BC9-54EE-4571-A417-385E3748CF5F","798CB33D-C79E-4578-83F2-72606407192C","245EB81A-808F-4697-BAED-263C20266B74","96BBA4CB-5F91-49BE-89A1-DDC594975A58"
"EPSRC","EP/F029624/2","University of Liverpool","Physics","Research Grant","Durose","Ken","","",,,,"","SUPERGEN Photovoltaic Materials for the 21st Century","01/03/2011","29/09/2012","1806675",,,"Closed","Solar Technology","","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/F029624/2","C37185D1-9812-4AE8-85E5-5448FB7E5469","798CB33D-C79E-4578-83F2-72606407192C","A0A585E0-6B0D-4643-A3A6-47943B4CBFEF","175F7685-509B-4E23-AEB3-90E67B9A7343"
"EPSRC","EP/E031471/1","Imperial College London","Dept of Chemistry","Research Grant","Haque","Saif","Ahmed","",,,,"","SONSEUROCORES - Self Organised Hybrid Devices (SOHYD)","30/09/2006","30/03/2010","312562",,,"Closed","Chemical Synthetic Methodology","Materials Characterisation","Solar Technology","Surfaces & Interfaces","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/E031471/1","E87FEB59-EF16-4C4F-BAD0-4A81E4CCEB0A","798CB33D-C79E-4578-83F2-72606407192C","46387D84-F71E-4B7D-8C7D-9C288F113510","6A6611D9-8A9B-4DD6-98FB-EA8C41CD3CE5"
"EPSRC","EP/V013858/1","Loughborough University","Wolfson Sch of Mech, Elec & Manufac Eng","Research Grant","Bowers","Jake","","http://orcid.org/0000-0001-7632-1140",,,,"","Solution Processed Inorganic Thin-Film Photovoltaic Devices (SolPV)","30/04/2021","31/10/2024","496078",,,"Active","Materials Characterisation","Solar Technology","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/V013858/1","C04592B0-DB5A-414F-A95F-7810B0B35CF6","798CB33D-C79E-4578-83F2-72606407192C","CAA9A40D-0226-4A4F-AC0D-D8299E30A1EF","7C5953FA-BCF7-4FD6-98FC-8D0250667393"
"EPSRC","EP/F001614/1","University of Edinburgh","Sch of Chemistry","Other Grant","Stevenson","Elizabeth","","",,,,"","The Renewable Energy Roadshow!","02/09/2007","01/05/2009","109732",,,"Closed","Energy - Marine & Hydropower","Solar Technology","Wind Power","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/F001614/1","58021E57-2DE8-4992-A97F-6ACDDD591547","798CB33D-C79E-4578-83F2-72606407192C","2DB7ED73-8E89-457A-A395-FAC12F929C1A","BC969F2B-1428-494D-916E-CCD7D0AA667A"
"EPSRC","EP/F056494/1","University of Bath","Chemistry","Research Grant","Hill","Michael","Stephen","",,,,"","Self-organized nanostructures and transparent conducting electrodes for low cost scaleable organic photovoltaic devices","30/04/2008","29/04/2011","323455",,,"Closed","Electronic Devices & Subsys.","Materials Characterisation","Materials Processing","Materials Synthesis & Growth","Solar Technology",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/F056494/1","FB13F7EB-D77C-4CD9-A4D6-54DD387C25B2","798CB33D-C79E-4578-83F2-72606407192C","EAAD4D43-BD15-432B-9385-2DBD0C65958D","0F570CA6-A05B-457F-991A-1AEDF47E9C5D"
"EPSRC","EP/G042330/1","University of Cambridge","Materials Science & Metallurgy","Research Grant","Humphreys","Colin","","http://orcid.org/0000-0001-5053-3380",,,,"","Science Bridge Award USA: Harnessing Materials for Energy","12/04/2009","11/10/2012","1447635",,,"Closed","Materials Processing","Solar Technology","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/G042330/1","C6A2DF65-D462-4994-B576-8ED71898E1F6","798CB33D-C79E-4578-83F2-72606407192C","D1774113-D5D2-4B7C-A412-66A90FE4B96F","D03720B0-B998-4ED2-B88A-A92ECA0B2FF2"
"EPSRC","EP/P510737/1","University of Oxford","Engineering Science","Research Grant","Howey","David","","http://orcid.org/0000-0002-0620-3955",,,,"","Portable solar powered electricity supplies using recovered batteries","30/06/2016","29/06/2017","76344",,,"Closed","Solar Technology","","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/P510737/1","BC1F0548-2988-4EA0-B315-967907CD7685","798CB33D-C79E-4578-83F2-72606407192C","3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9","414ACE91-8D4E-4F45-B4BE-7A45B1BA25F1"
"EPSRC","EP/M025012/1","Imperial College London","Dept of Physics","Research Grant","Ekins-Daukes","Nicholas","John","",,,,"","High Temperature, High Efficiency PV-Thermal Solar System","31/07/2015","31/01/2019","1108935",,,"Closed","Solar Technology","","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/M025012/1","E357DC93-AB6A-45FF-90D4-A444D0109810","798CB33D-C79E-4578-83F2-72606407192C","46387D84-F71E-4B7D-8C7D-9C288F113510","4232705F-3A88-45C6-B082-60CC803C8E05"
"EPSRC","EP/M026817/1","University of Manchester","Materials","Research Grant","THOMAS","Andrew","Guy","",,,,"","Substituent and anchor group effects in bonding to TiO2 Single Crystal Surfaces: Enhancing Solar Conversion Efficiency and Corrosion Inhibition.","30/06/2015","29/09/2015","4957",,,"Closed","Catalysis & Applied Catalysis","Solar Technology","Surfaces & Interfaces","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/M026817/1","1430DF1D-F1B5-42FA-84CC-9425CFCE5DC2","798CB33D-C79E-4578-83F2-72606407192C","68D0E3C9-9246-4CFC-B5E9-48584CF82993","2F80FCD6-F9A8-4698-90EC-568C5A7CF64E"
"EPSRC","EP/S000763/1","Loughborough University","Wolfson Sch of Mech, Elec & Manufac Eng","Research Grant","Walls","John","Michael","",,,,"","Supergen Solar Network+","30/06/2018","31/12/2022","1020413",,,"Active","Solar Technology","","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/S000763/1","BFE213F8-DA05-4C28-A829-82FAFE89799D","798CB33D-C79E-4578-83F2-72606407192C","CAA9A40D-0226-4A4F-AC0D-D8299E30A1EF","4C9C2558-CCEE-4290-BAEF-48B3533BCDC5"
"EPSRC","EP/R014884/1","Northumbria University","Fac of Engineering and Environment","Research Grant","Beattie","Neil","Scott","",,,,"","Achieving higher solar cell performance through international collaboration","01/03/2018","30/08/2018","15762",,,"Closed","Solar Technology","","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/R014884/1","F3A1EAD9-2959-4670-80D5-B17E7C2E4339","798CB33D-C79E-4578-83F2-72606407192C","EF390CF0-ECD3-47D8-B9A8-7602AF319BEE","51A2D3D3-19F8-4511-A103-2F5894CB5781"
"EPSRC","EP/J021547/1","Durham University","Physics","Research Grant","McLeish","Tom","","http://orcid.org/0000-0002-2025-0299",,,,"","2010 Grant balance: Durham University","30/06/2011","30/03/2012","82530",,,"Closed","Biophysics","Solar Technology","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/J021547/1","6BAABF42-7C03-4491-840A-AFCEAE2552E9","798CB33D-C79E-4578-83F2-72606407192C","46B41008-0EB4-4E28-BBFB-E98366999EC5","2FC2AC42-7D0A-45F8-B352-8F9D93021D19"
"EPSRC","EP/G031088/1","University of Warwick","Chemistry","Research Grant","Jones","Timothy","S","",,,,"","SUPERGEN Excitonic Solar Cell Consortium - MAIN CORE","31/03/2009","29/09/2013","3344345",,,"Closed","Solar Technology","","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/G031088/1","E77142F7-EDE6-46E3-A38D-B55E5E262B2A","798CB33D-C79E-4578-83F2-72606407192C","B6FB652A-60C3-48DD-9A33-075D1F759B48","1AE5304E-FFC1-4C8A-A850-0B2D282C2D2D"
"EPSRC","EP/E02730X/1","Imperial College London","Dept of Physics","Research Grant","Anthopoulos","Thomas","","",,,,"","Self-assembling conjugated macromolecules for organic field effect transistors and solar cells","30/09/2007","29/09/2010","116852",,,"Closed","Chemical Structure","Chemical Synthetic Methodology","Materials Characterisation","Solar Technology","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/E02730X/1","FD1D72E4-2679-42DB-97F7-8D12E14C7CB2","798CB33D-C79E-4578-83F2-72606407192C","46387D84-F71E-4B7D-8C7D-9C288F113510","021D7687-4FFE-43F0-BD57-50E4818BC719"
"EPSRC","EP/I002936/1","Imperial College London","Dept of Chemistry","Research Grant","Heeney","Martin","James","",,,,"","International Collaboration in Chemistry: Novel Approaches to Molecular Assembly in Polymers for Solar Energy Conversion","03/10/2010","30/07/2014","241168",,,"Closed","Materials Characterisation","Materials Processing","Materials Synthesis & Growth","Solar Technology","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/I002936/1","48288230-0B37-4312-BD2D-A26DFC43AD17","798CB33D-C79E-4578-83F2-72606407192C","46387D84-F71E-4B7D-8C7D-9C288F113510","D554F0DD-3FB2-4DD5-AE1E-395C37840FDF"
"EPSRC","EP/G051836/1","University of Warwick","Chemistry","Research Grant","Troisi","Alessandro","","http://orcid.org/0000-0002-5447-5648",,,,"","Theory of dye sensitized solar cells","04/10/2009","03/04/2013","330218",,,"Closed","Condensed Matter Physics","Electrochemical Science & Eng.","Materials Characterisation","Solar Technology","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/G051836/1","8FF5F9F9-ED0C-4B31-8972-A26530E493E7","798CB33D-C79E-4578-83F2-72606407192C","B6FB652A-60C3-48DD-9A33-075D1F759B48","396D621B-6551-4705-B202-2AD3E723D99B"
"EPSRC","EP/J500021/1","Imperial College London","Dept of Chemistry","Research Grant","Haque","Saif","Ahmed","",,,,"","Scalable low-cost organic photovoltaic devices","30/04/2011","29/04/2014","803540",,,"Closed","Electronic Devices & Subsys.","Materials Characterisation","Materials Processing","Materials Synthesis & Growth","Solar Technology",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/J500021/1","EE570FEB-5D29-4BC5-8232-B6B121B904C9","798CB33D-C79E-4578-83F2-72606407192C","46387D84-F71E-4B7D-8C7D-9C288F113510","6A6611D9-8A9B-4DD6-98FB-EA8C41CD3CE5"
"EPSRC","EP/P031072/1","Cranfield University","Sch of Aerospace, Transport & Manufact","Research Grant","Tonnellier","Xavier","","",,,,"","Solar Steam - A novel application of Fresnel lenses as a solar thermal collector to benefit industry","31/03/2017","31/03/2019","102428",,,"Closed","Energy Storage","Solar Technology","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/P031072/1","44D99ADD-A26D-4696-B606-AD4370AA19D5","798CB33D-C79E-4578-83F2-72606407192C","F45A4578-F962-4EFA-9CC1-9F2FF4F760AE","E5DB041D-36FA-4CBA-823F-5AAAB7418EDB"
"EPSRC","EP/T004819/1","University of Ulster","Sch of Built Environment","Research Grant","MONDOL","Jayanta","Deb","",,,,"","SolaNetWork","30/06/2019","29/06/2021","211716",,,"Closed","Energy Storage","Solar Technology","Sustainable Energy Networks","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/T004819/1","A950E55B-5834-4B6F-8D1B-D705BB7B497F","798CB33D-C79E-4578-83F2-72606407192C","245EB81A-808F-4697-BAED-263C20266B74","E8D6CD8F-3ABD-4975-A0E0-DB0F3065BAC4"
"EPSRC","EP/E058051/1","University of Sheffield","Mechanical Engineering","Research Grant","Tomlinson","Geof","","",,,,"","Energy project officer","17/06/2007","16/06/2009","80190",,,"Closed","Bioenergy","Coal Technology","Combustion","Electric Motor & Drive Systems","Energy - Conventional","Energy - Marine & Hydropower,Energy - Nuclear,Energy Efficiency,Energy Storage,Fuel Cell Technologies,Fusion,Heat & Mass Transfer,Mining & Minerals Extraction,Oil & Gas Extraction,Power Electronics,Power Sys Man, Prot & Control,Power Systems Plant,Solar Technology,Sustainable Energy Networks,Sustainable Energy Vectors,Wind Power","http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/E058051/1","F5D6A81A-0C51-4D23-B352-F6168DC14D9C","798CB33D-C79E-4578-83F2-72606407192C","03D8AFBB-3EA5-4885-B036-BD4F9F4F9849","179D1E5B-77B7-468F-B798-459CF476C9CC"
"EPSRC","EP/G049653/1","University of Oxford","Oxford Physics","Research Grant","Snaith","Henry","James","",,,,"","Enhanced solar light harvesting and charge transport in dye-sensitized solar cells","31/03/2009","30/03/2012","101894",,,"Closed","Materials Characterisation","Solar Technology","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/G049653/1","F16A7EED-9EDA-43A3-BC60-D6E12FF02F61","798CB33D-C79E-4578-83F2-72606407192C","3EAE04CA-9D62-4483-B9C4-F91AD9F4C5A9","15E36410-2834-433A-B01F-15A10565CFEC"
"EPSRC","EP/K031414/1","Durham University","Earth Sciences","Research Grant","Gluyas","Jon","","",,,,"","Small items of research equipment at Durham University","01/11/2012","31/03/2013","402150",,,"Closed","Solar Technology","Sustainable Energy Networks","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/K031414/1","8F68A81A-0442-47A7-9C59-DB32F2F6219E","798CB33D-C79E-4578-83F2-72606407192C","46B41008-0EB4-4E28-BBFB-E98366999EC5","43FE4374-A2FF-45B7-A753-2B3BDCD155FD"
"EPSRC","EP/J011398/1","Sheffield Hallam University","Faculty of Arts Computing Eng and Sci","Research Grant","Ehiasarian","Arutiun","Papken","",,,,"","High Efficiency CuInSe2 Photovoltaic Modules Deposited at Low Temperature by High Power Impulse Magnetron Sputtering (HIPIMS)","31/07/2012","31/01/2016","329149",,,"Closed","Solar Technology","","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/J011398/1","FA835D14-8E5B-4318-BD94-C0A7DC230854","798CB33D-C79E-4578-83F2-72606407192C","52FDE897-E62F-4388-A588-9382D1E7C2D3","25BFE263-406B-4FAE-A722-3039DD400278"
"EPSRC","EP/R023840/1","Cardiff University","School of Physics and Astronomy","Research Grant","Mokkapati","Sudha","","http://orcid.org/0000-0003-3260-6560",,,,"","Carrier Selective Layers: Enabling the True Potential of Nanostructured Photovoltaics","31/03/2018","22/01/2020","279442",,,"Closed","Optoelect. Devices & Circuits","Solar Technology","","","",,"http://internal-gtr-tomcat-alb-611010599.eu-west-2.elb.amazonaws.com:8080/gtr.portal/projects?ref=EP/R023840/1","F7588448-477E-4766-B08C-D6A4A791508A","798CB33D-C79E-4578-83F2-72606407192C","9C10D78F-6430-4CA7-9528-B96B0762A4C6","ED6C7693-34C9-479E-88FE-FD298EFA7043"
